Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-12,Yuba,Managed Care,InnovAge PACE/Yuba,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Yuba,Managed Care,Kaiser Foundation Health Plan/Yuba,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Yuba,Managed Care,Out of County Plan,"1,244",,,P,09DEC2025
2025-12,Yuba,Managed Care,Partnership HealthPlan of California/Yuba,"35,860",,,P,09DEC2025
2025-11,Alameda,Fee-for-Service,Fee-for-Service,"14,443",,,P,09DEC2025
2025-11,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"391,369",,,P,09DEC2025
2025-11,Alameda,Managed Care,Center for Elders Independence/Alameda,"1,011",,,P,09DEC2025
2025-11,Alameda,Managed Care,Kaiser Permanente/Alameda,"75,154",,,P,09DEC2025
2025-11,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,439,,,P,09DEC2025
2025-11,Alameda,Managed Care,Out of County Plan,"7,416",,,P,09DEC2025
2025-11,Alameda,Managed Care,WelbeHealth Bay Area PACE/Alameda,14,,,P,09DEC2025
2025-11,Alpine,Fee-for-Service,Fee-for-Service,19,,,P,09DEC2025
2025-11,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,216,,,P,09DEC2025
2025-11,Alpine,Managed Care,Mountain Valley Health Plan/Alpine,36,,,P,09DEC2025
2025-11,Alpine,Managed Care,Out of County Plan,39,,,P,09DEC2025
2025-11,Amador,Fee-for-Service,Fee-for-Service,687,,,P,09DEC2025
2025-11,Amador,Managed Care,Anthem Blue Cross Partnership Plan/Amador,"6,315",,,P,09DEC2025
2025-11,Amador,Managed Care,"Health Net Community Solutions, Inc/Amador","1,807",,,P,09DEC2025
2025-11,Amador,Managed Care,Kaiser Permanente/Amador,354,,,P,09DEC2025
2025-11,Amador,Managed Care,Out of County Plan,144,,,P,09DEC2025
2025-11,Butte,Fee-for-Service,Fee-for-Service,"2,179",,,P,09DEC2025
2025-11,Butte,Managed Care,Out of County Plan,"1,353",,,P,09DEC2025
2025-11,Butte,Managed Care,Partnership HealthPlan of California/Butte,"81,217",,,P,09DEC2025
2025-11,Calaveras,Fee-for-Service,Fee-for-Service,938,,,P,09DEC2025
2025-11,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"6,838",,,P,09DEC2025
2025-11,Calaveras,Managed Care,"Heath Net Community Solutions, Inc/Calaveras","5,754",,,P,09DEC2025
2025-11,Calaveras,Managed Care,Out of County Plan,210,,,P,09DEC2025
2025-11,Colusa,Fee-for-Service,Fee-for-Service,242,,,P,09DEC2025
2025-11,Colusa,Managed Care,Out of County Plan,297,,,P,09DEC2025
2025-11,Colusa,Managed Care,Partnership HealthPlan of California/Colusa,"9,820",,,P,09DEC2025
2025-11,Contra Costa,Fee-for-Service,Fee-for-Service,"9,405",,,P,09DEC2025
2025-11,Contra Costa,Managed Care,Center for Elders Independence/Contra Costa,459,,,P,09DEC2025
2025-11,Contra Costa,Managed Care,Contra Costa Health Plan/Contra Costa,"257,801",,,P,09DEC2025
2025-11,Contra Costa,Managed Care,Kaiser Permanente/Contra Costa,"60,111",,,P,09DEC2025
2025-11,Contra Costa,Managed Care,Out of County Plan,"4,776",,,P,09DEC2025
2025-11,Del Norte,Fee-for-Service,Fee-for-Service,304,,,P,09DEC2025
2025-11,Del Norte,Managed Care,Out of County Plan,162,,,P,09DEC2025
2025-11,Del Norte,Managed Care,Partnership Health Plan of California/Del Norte,"12,024",,,P,09DEC2025
2025-11,El Dorado,Fee-for-Service,Fee-for-Service,"2,639",,,P,09DEC2025
2025-11,El Dorado,Managed Care,Anthem Blue Cross Partnership Plan/El Dorado,"25,110",,,P,09DEC2025
2025-11,El Dorado,Managed Care,InnovAge PACE/El Dorado,18,,,P,09DEC2025
2025-11,El Dorado,Managed Care,Kaiser Permanente/El Dorado,"3,875",,,P,09DEC2025
2025-11,El Dorado,Managed Care,Mountain Valley Health Plan/El Dorado,"7,851",,,P,09DEC2025
2025-11,El Dorado,Managed Care,Out of County Plan,586,,,P,09DEC2025
2025-11,Fresno,Fee-for-Service,Fee-for-Service,"21,213",,,P,09DEC2025
2025-11,Fresno,Managed Care,Anthem Blue Cross Partnership Plan/Fresno,"145,886",,,P,09DEC2025
2025-11,Fresno,Managed Care,CalViva Health/Fresno,"336,749",,,P,09DEC2025
2025-11,Fresno,Managed Care,"Innovative Integrated Health, Inc/Fresno","1,263",,,P,09DEC2025
2025-11,Fresno,Managed Care,Kaiser Permanente/Fresno,"10,790",,,P,09DEC2025
2025-11,Fresno,Managed Care,Out of County Plan,"3,619",,,P,09DEC2025
2025-11,Fresno,Managed Care,Sequoia PACE/Fresno,995,,,P,09DEC2025
2025-11,Fresno,Managed Care,Valley PACE/Fresno,124,,,P,09DEC2025
2025-11,Glenn,Fee-for-Service,Fee-for-Service,292,,,P,09DEC2025
2025-11,Glenn,Managed Care,Out of County Plan,342,,,P,09DEC2025
2025-11,Glenn,Managed Care,Partnership HealthPlan of California/Glenn,"12,947",,,P,09DEC2025
2025-11,Humboldt,Fee-for-Service,Fee-for-Service,"1,334",,,P,09DEC2025
2025-11,Humboldt,Managed Care,"Humboldt Senior Resource Center, Inc./Humboldt",354,,,P,09DEC2025
2025-11,Humboldt,Managed Care,Out of County Plan,631,,,P,09DEC2025
2025-11,Humboldt,Managed Care,Partnership Health Plan of California/Humboldt,"55,272",,,P,09DEC2025
2025-11,Imperial,Fee-for-Service,Fee-for-Service,"2,600",,,P,09DEC2025
2025-11,Imperial,Managed Care,Community Health Plan of Imperial Valley/Imperial,"96,255",,,P,09DEC2025
2025-11,Imperial,Managed Care,Kaiser Permanente/Imperial,27,,,P,09DEC2025
2025-11,Imperial,Managed Care,Out of County Plan,601,,,P,09DEC2025
2025-11,Inyo,Fee-for-Service,Fee-for-Service,739,,,P,09DEC2025
2025-11,Inyo,Managed Care,Anthem Blue Cross Partnership Plan/Inyo,"2,594",,,P,09DEC2025
2025-11,Inyo,Managed Care,"Health Net Community Solutions, Inc/Inyo","1,858",,,P,09DEC2025
2025-11,Inyo,Managed Care,Out of County Plan,70,,,P,09DEC2025
2025-11,Kern,Fee-for-Service,Fee-for-Service,"19,621",,,P,09DEC2025
2025-11,Kern,Managed Care,Anthem Blue Cross Partnership Plan/Kern,"46,373",,,P,09DEC2025
2025-11,Kern,Managed Care,"IIH, Inc dba Bakersfield PACE/Kern",582,,,P,09DEC2025
2025-11,Kern,Managed Care,Kaiser Permanente/Kern,"23,049",,,P,09DEC2025
2025-11,Kern,Managed Care,Kern Health Systems/Kern,"397,358",,,P,09DEC2025
2025-11,Kern,Managed Care,Out of County Plan,"2,990",,,P,09DEC2025
2025-11,Kings,Fee-for-Service,Fee-for-Service,"3,416",,,P,09DEC2025
2025-11,Kings,Managed Care,Anthem Blue Cross Partnership Plan/Kings,"24,876",,,P,09DEC2025
2025-11,Kings,Managed Care,CalViva Health/Kings,"38,199",,,P,09DEC2025
2025-11,Kings,Managed Care,Family Health Care Network/Kings,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,Kings,Managed Care,Kaiser Permanente/Kings,245,,,P,09DEC2025
2025-11,Kings,Managed Care,Out of County Plan,647,,,P,09DEC2025
2025-11,Kings,Managed Care,Sequoia PACE/Kings,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-11,Lake,Fee-for-Service,Fee-for-Service,763,,,P,09DEC2025
2025-11,Lake,Managed Care,Out of County Plan,481,,,P,09DEC2025
2025-11,Lake,Managed Care,Partnership Health Plan of California/Lake,"32,736",,,P,09DEC2025
2025-11,Lassen,Fee-for-Service,Fee-for-Service,271,,,P,09DEC2025
2025-11,Lassen,Managed Care,Out of County Plan,307,,,P,09DEC2025
2025-11,Lassen,Managed Care,Partnership Health Plan of California/Lassen,"8,090",,,P,09DEC2025
2025-11,Los Angeles,Fee-for-Service,Fee-for-Service,"161,076",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,AIDS Healthcare Foundation/Los Angeles,907,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,AltaMed Health Sr. Buena Care/Los Angeles,"4,693",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Asian Heritage PACE/Los Angeles,49,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Brandman Centers for Senior Care/Los Angeles,447,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Chinatown Service Center/Los Angeles,101,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,ConcertoHealth PACE of Los Angeles/Los Angeles,109,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Health Net Community Solutions/Los Angeles,"1,160,597",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,K-Day PACE/Los Angeles,47,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Kaiser Permanente/Los Angeles,"331,728",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,L.A. Care Health Plan/Los Angeles,"2,289,237",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,LA Coast PACE/Los Angeles,924,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,MyPlace Health PACE/Los Angeles,137,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Out of County Plan,"32,795",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Pacific PACE/Los Angeles,"1,408",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,SCAN Health Plan/Los Angeles,"11,785",,,P,09DEC2025
2025-11,Los Angeles,Managed Care,Seen Health/Los Angeles,117,,,P,09DEC2025
2025-11,Los Angeles,Managed Care,myPlace PACE/Los Angeles,56,,,P,09DEC2025
2025-11,Madera,Fee-for-Service,Fee-for-Service,"3,531",,,P,09DEC2025
2025-11,Madera,Managed Care,Anthem Blue Cross Partnership Plan/Madera,"26,540",,,P,09DEC2025
2025-11,Madera,Managed Care,CalViva Health/Madera,"49,974",,,P,09DEC2025
2025-11,Madera,Managed Care,Kaiser Permanente/Madera,"1,785",,,P,09DEC2025
2025-11,Madera,Managed Care,Out of County Plan,891,,,P,09DEC2025
2025-11,Madera,Managed Care,Sequoia PACE/Madera,62,,,P,09DEC2025
2025-11,Marin,Fee-for-Service,Fee-for-Service,"1,584",,,P,09DEC2025
2025-11,Marin,Managed Care,AgeWell PACE/Marin,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,Marin,Managed Care,Kaiser Permanente/Marin,"7,040",,,P,09DEC2025
2025-11,Marin,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-11,Marin,Managed Care,Partnership Health Plan of California/Marin,"45,500",,,P,09DEC2025
2025-11,Mariposa,Fee-for-Service,Fee-for-Service,188,,,P,09DEC2025
2025-11,Mariposa,Managed Care,Central California Alliance for Health/Mariposa,"5,324",,,P,09DEC2025
2025-11,Mariposa,Managed Care,Kaiser Foundation Health Plan/Mariposa,13,,,P,09DEC2025
2025-11,Mariposa,Managed Care,Out of County Plan,163,,,P,09DEC2025
2025-11,Mendocino,Fee-for-Service,Fee-for-Service,881,,,P,09DEC2025
2025-11,Mendocino,Managed Care,Out of County Plan,732,,,P,09DEC2025
2025-11,Mendocino,Managed Care,Partnership Health Plan of California/Mendocino,"39,798",,,P,09DEC2025
2025-11,Merced,Fee-for-Service,Fee-for-Service,"3,883",,,P,09DEC2025
2025-11,Merced,Managed Care,Central California Alliance for Health/Merced,"142,938",,,P,09DEC2025
2025-11,Merced,Managed Care,Central Valley PACE/Merced,108,,,P,09DEC2025
2025-11,Merced,Managed Care,Out of County Plan,"1,281",,,P,09DEC2025
2025-11,Modoc,Fee-for-Service,Fee-for-Service,101,,,P,09DEC2025
2025-11,Modoc,Managed Care,Out of County Plan,81,,,P,09DEC2025
2025-11,Modoc,Managed Care,Partnership Health Plan of California/Modoc,"3,376",,,P,09DEC2025
2025-11,Mono,Fee-for-Service,Fee-for-Service,274,,,P,09DEC2025
2025-11,Mono,Managed Care,Anthem Blue Cross Partnership Plan/Mono,"1,965",,,P,09DEC2025
2025-11,Mono,Managed Care,"Health Net Community Solutions, Inc./Mono","1,109",,,P,09DEC2025
2025-11,Mono,Managed Care,Out of County Plan,214,,,P,09DEC2025
2025-11,Monterey,Fee-for-Service,Fee-for-Service,"4,135",,,P,09DEC2025
2025-11,Monterey,Managed Care,Central California Alliance for Health/Monterey,"183,951",,,P,09DEC2025
2025-11,Monterey,Managed Care,Out of County Plan,"1,379",,,P,09DEC2025
2025-11,Napa,Fee-for-Service,Fee-for-Service,"1,102",,,P,09DEC2025
2025-11,Napa,Managed Care,Kaiser Permanente/Napa,"7,824",,,P,09DEC2025
2025-11,Napa,Managed Care,Out of County Plan,513,,,P,09DEC2025
2025-11,Napa,Managed Care,Partnership Health Plan of California/Napa,"26,989",,,P,09DEC2025
2025-11,Napa,Managed Care,Providence PACE/Napa,75,,,P,09DEC2025
2025-11,Nevada,Fee-for-Service,Fee-for-Service,908,,,P,09DEC2025
2025-11,Nevada,Managed Care,Out of County Plan,748,,,P,09DEC2025
2025-11,Nevada,Managed Care,Partnership HealthPlan of California/Nevada,"27,651",,,P,09DEC2025
2025-11,Orange,Fee-for-Service,Fee-for-Service,"29,174",,,P,09DEC2025
2025-11,Orange,Managed Care,AltaMed Senior Buena Care/Orange,517,,,P,09DEC2025
2025-11,Orange,Managed Care,CalOptima PACE/Orange,535,,,P,09DEC2025
2025-11,Orange,Managed Care,CalOptima/Orange,"841,707",,,P,09DEC2025
2025-11,Orange,Managed Care,Innovative Integrated Health PACE/Orange,211,,,P,09DEC2025
2025-11,Orange,Managed Care,Kaiser Permanente/Orange,"70,880",,,P,09DEC2025
2025-11,Orange,Managed Care,Out of County Plan,"8,692",,,P,09DEC2025
2025-11,Placer,Fee-for-Service,Fee-for-Service,"3,263",,,P,09DEC2025
2025-11,Placer,Managed Care,Habitat Health Sacramento/Placer,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,Placer,Managed Care,InnovAge PACE/Placer,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-11,Placer,Managed Care,Kaiser Foundation Health Plan/Placer,"17,758",,,P,09DEC2025
2025-11,Placer,Managed Care,Out of County Plan,"1,126",,,P,09DEC2025
2025-11,Placer,Managed Care,Partnership HealthPlan of California/Placer,"58,596",,,P,09DEC2025
2025-11,Plumas,Fee-for-Service,Fee-for-Service,145,,,P,09DEC2025
2025-11,Plumas,Managed Care,Out of County Plan,230,,,P,09DEC2025
2025-11,Plumas,Managed Care,Partnership HealthPlan of California/Plumas,"5,282",,,P,09DEC2025
2025-11,Riverside,Fee-for-Service,Fee-for-Service,"45,993",,,P,09DEC2025
2025-11,Riverside,Managed Care,Inland Empire Health Plan/Riverside,"738,618",,,P,09DEC2025
2025-11,Riverside,Managed Care,InnovAge PACE/Riverside,379,,,P,09DEC2025
2025-11,Riverside,Managed Care,Kaiser Permanente/Riverside,"90,857",,,P,09DEC2025
2025-11,Riverside,Managed Care,Loma Linda University Health PACE/Riverside,40,,,P,09DEC2025
2025-11,Riverside,Managed Care,Molina Healthcare of California/Riverside,"95,382",,,P,09DEC2025
2025-11,Riverside,Managed Care,Neighborhood Healthcare PACE/Riverside,305,,,P,09DEC2025
2025-11,Riverside,Managed Care,Out of County Plan,"15,236",,,P,09DEC2025
2025-11,Riverside,Managed Care,SCAN Health Plan/Riverside,"4,127",,,P,09DEC2025
2025-11,Riverside,Managed Care,WelbeHealth Inland Empire/Riverside,563,,,P,09DEC2025
2025-11,STATEWIDE,STATEWIDE,STATEWIDE,"14,327,610",,Statewide Total by MOE,P,09DEC2025
2025-11,Sacramento,Fee-for-Service,Fee-for-Service,"27,593",,,P,09DEC2025
2025-11,Sacramento,Managed Care,Anthem Blue Cross/Sacramento,"247,720",,,P,09DEC2025
2025-11,Sacramento,Managed Care,Habitat Health Sacramento/Placer,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,Sacramento,Managed Care,Habitat Health Sacramento/Sacramento,157,,,P,09DEC2025
2025-11,Sacramento,Managed Care,Health Net Community Solutions/Sacramento,"143,602",,,P,09DEC2025
2025-11,Sacramento,Managed Care,InnovAge PACE/Sacramento,564,,,P,09DEC2025
2025-11,Sacramento,Managed Care,Kaiser Permanente/Sacramento,"135,834",,,P,09DEC2025
2025-11,Sacramento,Managed Care,Molina Healthcare of California/Sacramento,"70,144",,,P,09DEC2025
2025-11,Sacramento,Managed Care,Out of County Plan,"8,822",,,P,09DEC2025
2025-11,Sacramento,Managed Care,Sutter SeniorCare/Sacramento,544,,,P,09DEC2025
2025-11,Sacramento,Managed Care,WelbeHealth - Stockton PACE/Sacramento,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-11,San Benito,Fee-for-Service,Fee-for-Service,652,,,P,09DEC2025
2025-11,San Benito,Managed Care,Central California Alliance for Health/San Benito,"20,112",,,P,09DEC2025
2025-11,San Benito,Managed Care,Out of County Plan,357,,,P,09DEC2025
2025-11,San Bernardino,Fee-for-Service,Fee-for-Service,"42,672",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,AltaMed PACE/San Bernardino,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,San Bernardino,Managed Care,High Desert PACE/San Bernardino,200,,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Inland Empire Health Plan/San Bernardino,"706,720",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,InnovAge PACE/San Bernardino,"1,040",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Kaiser Permanente/San Bernardino,"96,266",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Loma Linda University Health PACE/San Bernardino,95,,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Molina Healthcare of California/San Bernardino,"86,036",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Neighborhood Healthcare PACE/San Bernardino,115,,,P,09DEC2025
2025-11,San Bernardino,Managed Care,Out of County Plan,"12,097",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,SCAN Health Plan/San Bernardino,"2,901",,,P,09DEC2025
2025-11,San Bernardino,Managed Care,WelbeHealth Inland Empire/San Bernardino,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,San Bernardino,Managed Care,WelbeHealth San Bernardino PACE/San Bernardino,57,,,P,09DEC2025
2025-11,San Diego,Fee-for-Service,Fee-for-Service,"48,853",,,P,09DEC2025
2025-11,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"182,641",,,P,09DEC2025
2025-11,San Diego,Managed Care,Community Health Group/San Diego,"358,695",,,P,09DEC2025
2025-11,San Diego,Managed Care,Family Health Centers of San Diego/San Diego,431,,,P,09DEC2025
2025-11,San Diego,Managed Care,Gary and Mary West PACE of N. San Diego/San Diego,459,,,P,09DEC2025
2025-11,San Diego,Managed Care,Kaiser Permanente/San Diego,"71,748",,,P,09DEC2025
2025-11,San Diego,Managed Care,Molina Healthcare of California/San Diego,"265,751",,,P,09DEC2025
2025-11,San Diego,Managed Care,Out of County Plan,"4,714",,,P,09DEC2025
2025-11,San Diego,Managed Care,SCAN Health Plan/San Diego,"1,719",,,P,09DEC2025
2025-11,San Diego,Managed Care,San Diego PACE/San Diego,"3,100",,,P,09DEC2025
2025-11,San Diego,Managed Care,St. Paul's PACE/San Diego,"1,451",,,P,09DEC2025
2025-11,San Francisco,Fee-for-Service,Fee-for-Service,"11,965",,,P,09DEC2025
2025-11,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"36,816",,,P,09DEC2025
2025-11,San Francisco,Managed Care,Kaiser Permanente/San Francisco,"22,873",,,P,09DEC2025
2025-11,San Francisco,Managed Care,North East Medical Services PACE/San Francisco,213,,,P,09DEC2025
2025-11,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,"1,136",,,P,09DEC2025
2025-11,San Francisco,Managed Care,Out of County Plan,"4,240",,,P,09DEC2025
2025-11,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"175,138",,,P,09DEC2025
2025-11,San Joaquin,Fee-for-Service,Fee-for-Service,"16,178",,,P,09DEC2025
2025-11,San Joaquin,Managed Care,Central PACE/San Joaquin,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-11,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"33,871",,,P,09DEC2025
2025-11,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"230,115",,,P,09DEC2025
2025-11,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,298,,,P,09DEC2025
2025-11,San Joaquin,Managed Care,InnovAge PACE/San Joaquin,,1,Cell suppressed for small numbers,P,09DEC2025
2025-11,San Joaquin,Managed Care,Kaiser Permanente/San Joaquin,"31,490",,,P,09DEC2025
2025-11,San Joaquin,Managed Care,Out of County Plan,"2,795",,,P,09DEC2025
2025-11,San Joaquin,Managed Care,Stockton PACE/San Joaquin,858,,,P,09DEC2025
2025-11,San Luis Obispo,Fee-for-Service,Fee-for-Service,"1,870",,,P,09DEC2025
2025-11,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"63,976",,,P,09DEC2025
2025-11,San Luis Obispo,Managed Care,Out of County Plan,760,,,P,09DEC2025
2025-11,San Mateo,Fee-for-Service,Fee-for-Service,"5,487",,,P,09DEC2025
2025-11,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"142,175",,,P,09DEC2025
2025-11,San Mateo,Managed Care,Kaiser Permanente/San Mateo,"18,049",,,P,09DEC2025
2025-11,San Mateo,Managed Care,Out of County Plan,"1,924",,,P,09DEC2025
2025-11,Santa Barbara,Fee-for-Service,Fee-for-Service,"4,453",,,P,09DEC2025
2025-11,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"169,988",,,P,09DEC2025
2025-11,Santa Barbara,Managed Care,Out of County Plan,"1,964",,,P,09DEC2025
2025-11,Santa Clara,Fee-for-Service,Fee-for-Service,"19,797",,,P,09DEC2025
2025-11,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"82,347",,,P,09DEC2025
2025-11,Santa Clara,Managed Care,Kaiser Permanente/Santa Clara,"50,325",,,P,09DEC2025
2025-11,Santa Clara,Managed Care,North East Medical Services (NEMS) PACE/Santa Clara,39,,,P,09DEC2025
2025-11,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,522,,,P,09DEC2025
2025-11,Santa Clara,Managed Care,Out of County Plan,"3,893",,,P,09DEC2025
2025-11,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"298,724",,,P,09DEC2025
2025-11,Santa Clara,Managed Care,WelbeHealth Bay Area PACE/Santa Clara,302,,,P,09DEC2025
2025-11,Santa Cruz,Fee-for-Service,Fee-for-Service,"2,187",,,P,09DEC2025
